run_id,prediction_date,as_of_date,model,rank,feature,value,contribution,p_up,p_down
20260911T052322_934df3c4b8f0,2026-09-11,2026-09-10,No macro ensemble,1,micron_ret_1,-0.048999335616827,-0.5535060249110166,0.1595175903768233,0.6071221008231638
20260911T052322_934df3c4b8f0,2026-09-11,2026-09-10,No macro ensemble,2,us10y_level_z60,2.5819287300109863,-0.166764688675206,0.1595175903768233,0.6071221008231638
20260911T052322_934df3c4b8f0,2026-09-11,2026-09-10,No macro ensemble,3,sox_ret_1,-0.0265813320875167,-0.1317099606625449,0.1595175903768233,0.6071221008231638
20260911T052322_934df3c4b8f0,2026-09-11,2026-09-10,No macro ensemble,4,us10y_ret_1,0.0221211500465869,-0.0683629826776528,0.1595175903768233,0.6071221008231638
20260911T052322_934df3c4b8f0,2026-09-11,2026-09-10,No macro ensemble,5,nvidia_ret_1,-0.0226479135453701,-0.0535455029610999,0.1595175903768233,0.6071221008231638
20260911T093354_509662e2f5d0,2026-09-14,2026-09-11,No macro ensemble,1,micron_ret_1,-0.048999335616827,-0.4711677043077225,0.1522917713080446,0.5420856634552189
20260911T093354_509662e2f5d0,2026-09-14,2026-09-11,No macro ensemble,2,us10y_level_z60,2.5819287300109863,-0.1759820756682812,0.1522917713080446,0.5420856634552189
20260911T093354_509662e2f5d0,2026-09-14,2026-09-11,No macro ensemble,3,sam_ret_1,-0.0221262816339731,0.122664922774098,0.1522917713080446,0.5420856634552189
20260911T093354_509662e2f5d0,2026-09-14,2026-09-11,No macro ensemble,4,sox_ret_1,-0.0265813320875167,-0.1121554800462513,0.1522917713080446,0.5420856634552189
20260911T093354_509662e2f5d0,2026-09-14,2026-09-11,No macro ensemble,5,kospi_ret_1,-0.017630249261856,0.06877385037251,0.1522917713080446,0.5420856634552189
20260914T082046_95a3a495560e,2026-09-15,2026-09-14,No macro ensemble,1,sam_ret_1,-0.0634657815098762,0.2181364635655082,0.5324678317147469,0.1902271187427676
20260914T082046_95a3a495560e,2026-09-15,2026-09-14,No macro ensemble,2,us10y_level_z60,2.64357852935791,-0.2140168647588032,0.5324678317147469,0.1902271187427676
20260914T082046_95a3a495560e,2026-09-15,2026-09-14,No macro ensemble,3,sam_ret_5,-0.0482333153486251,0.1511039793894801,0.5324678317147469,0.1902271187427676
20260914T082046_95a3a495560e,2026-09-15,2026-09-14,No macro ensemble,4,sam_ret_2,-0.0841878056526184,0.1087902411982842,0.5324678317147469,0.1902271187427676
20260914T082046_95a3a495560e,2026-09-15,2026-09-14,No macro ensemble,5,micron_ret_1,-0.0021996533032506,-0.1018234373011755,0.5324678317147469,0.1902271187427676
20260915T115743_527547320e06,2026-09-16,2026-09-15,No macro ensemble,1,micron_ret_1,-0.0525295622646808,-0.6157432165771147,0.151589633300751,0.5790444658550649
20260915T115743_527547320e06,2026-09-16,2026-09-15,No macro ensemble,2,us10y_level_z60,2.382806301116944,-0.1886714270770087,0.151589633300751,0.5790444658550649
20260915T115743_527547320e06,2026-09-16,2026-09-15,No macro ensemble,3,sam_ret_2,-0.0673289149999618,0.1364652048275229,0.151589633300751,0.5790444658550649
20260915T115743_527547320e06,2026-09-16,2026-09-15,No macro ensemble,4,sox_ret_1,-0.0585859045386314,-0.128874451177927,0.151589633300751,0.5790444658550649
20260915T115743_527547320e06,2026-09-16,2026-09-15,No macro ensemble,5,micron_ret_5,-0.0910494849085807,-0.0855864936952322,0.151589633300751,0.5790444658550649
20260916T120703_2abb96b32b5d,2026-09-17,2026-09-16,No macro ensemble,1,sam_ret_1,0.0408284030854702,-0.1745502841027625,0.2189980218262886,0.4061370105984506
20260916T120703_2abb96b32b5d,2026-09-17,2026-09-16,No macro ensemble,2,us10y_level_z60,2.478363275527954,-0.1707088380365486,0.2189980218262886,0.4061370105984506
20260916T120703_2abb96b32b5d,2026-09-17,2026-09-16,No macro ensemble,3,micron_ret_5,-0.0726411491632461,-0.1389328428556973,0.2189980218262886,0.4061370105984506
20260916T120703_2abb96b32b5d,2026-09-17,2026-09-16,No macro ensemble,4,sam_ret_5,-0.052262932062149,0.0738287151323775,0.2189980218262886,0.4061370105984506
20260916T120703_2abb96b32b5d,2026-09-17,2026-09-16,No macro ensemble,5,micron_ret_1,0.0038634533993899,-0.0726543679294922,0.2189980218262886,0.4061370105984506
