schema_version,run_id,created_at_utc,runtime,versions_hash,prediction_date,as_of_date,data_snapshot_hash,config_hash,target_mode,band,imputed_features,macro_snapshot_hash,macro_history_mode,prediction,p_down,p_flat,p_up,model,record_id,kind,horizon_days,target_date,horizon,trading_days,current_close,signal,predicted_return,predicted_close,center_close,low_close,high_close,band_coverage,vol_model,model_mae,zero_baseline_mae,mae_diff_lo,mae_diff_hi,oof_slope,actual_open,actual_close,actual_return,actual_class,direction_correct,price_error,absolute_price_error,price_ape,return_error,interval_hit,center_price_error,log_loss,brier,status,is_prospective,actual_updated_at_utc
3,20260906T235225_c30b9404115e,2026-09-06T23:52:47.631703+00:00,github-actions,823ac12bac50,2026-09-07,2026-09-06,53a24fdf82a7b0bfd51b,9b0b1adcafba0fea37db,close_to_close,0.0062564635981491,{},,disabled,상승,0.364651999635648,0.2606484286386732,0.3746995717256788,Logistic,20260906T235225_c30b9404115e:direction:Logistic,direction,1,2026-09-07,,,,,,,,,,,,,,,,,66.73500061035156,67.2249984741211,,,,,,,,,,,,missing_reference,True,2026-09-07T23:53:50.764422+00:00
3,20260906T235225_c30b9404115e,2026-09-06T23:52:47.631703+00:00,github-actions,823ac12bac50,2026-09-07,2026-09-06,53a24fdf82a7b0bfd51b,9b0b1adcafba0fea37db,close_to_close,0.0062564635981491,{},,disabled,,,,,Ridge,20260906T235225_c30b9404115e:price:1,price,1,2026-09-07,1거래일,1.0,66.74800109863281,없음,,,66.74800109863281,65.03386446351166,68.46213773375395,0.7883597883597884,simple,0.0169871620600082,0.0170271426187227,0.0,0.0,0.0,66.73500061035156,67.2249984741211,0.007146242099196787,,,,,,,1.0,-0.47699737548828125,,,scored,True,2026-09-07T23:53:50.764422+00:00
3,20260906T235225_c30b9404115e,2026-09-06T23:52:47.631703+00:00,github-actions,823ac12bac50,2026-09-07,2026-09-06,53a24fdf82a7b0bfd51b,9b0b1adcafba0fea37db,close_to_close,0.0062564635981491,{},,disabled,,,,,Ridge,20260906T235225_c30b9404115e:price:5,price,5,2026-09-11,1주일,5.0,66.74800109863281,없음,,,66.74800109863281,62.62865189489957,70.86735030236606,0.7689594356261023,simple,0.0400793727786814,0.0401576881453128,0.0,0.0,0.0,,,,,,,,,,,,,,pending,True,2026-09-07T23:53:50.764422+00:00
3,20260906T235225_c30b9404115e,2026-09-06T23:52:47.631703+00:00,github-actions,823ac12bac50,2026-09-07,2026-09-06,53a24fdf82a7b0bfd51b,9b0b1adcafba0fea37db,close_to_close,0.0062564635981491,{},,disabled,,,,,Ridge,20260906T235225_c30b9404115e:price:20,price,20,2026-10-02,1개월,20.0,66.74800109863281,없음,,,66.74800109863281,57.873680699056735,75.62232149820889,0.8061946902654867,simple,0.0771432388906079,0.0777909663828967,0.0,0.0,0.0,,,,,,,,,,,,,,pending,True,2026-09-07T23:53:50.764422+00:00
3,20260907T051030_e5b3aeb07ed2,2026-09-07T05:10:53.313284+00:00,github-actions,823ac12bac50,2026-09-07,2026-09-04,5fd4ea4a301d5af0e0d6,9b0b1adcafba0fea37db,close_to_close,0.0064819188915649,{},,disabled,상승,0.3406844395516685,0.2632631241993292,0.3960524362490022,Logistic,20260907T051030_e5b3aeb07ed2:direction:Logistic,direction,1,2026-09-07,,,,,,,,,,,,,,,,,66.73500061035156,67.2249984741211,0.01783580565448739,2.0,1.0,,,,,,,0.9262086617235106,0.5501260196765914,scored,False,2026-09-07T23:53:50.764422+00:00
3,20260907T051030_e5b3aeb07ed2,2026-09-07T05:10:53.313284+00:00,github-actions,823ac12bac50,2026-09-07,2026-09-04,5fd4ea4a301d5af0e0d6,9b0b1adcafba0fea37db,close_to_close,0.0064819188915649,{},,disabled,,,,,Ridge,20260907T051030_e5b3aeb07ed2:price:1,price,1,2026-09-07,1거래일,1.0,66.0469970703125,없음,,,66.0469970703125,64.28974153771014,67.80425260291486,0.7883597883597884,simple,0.0169789220269378,0.0170185534338604,0.0,0.0,0.0,66.73500061035156,67.2249984741211,0.01783580565448739,,,,,,,1.0,-1.1780014038085938,,,scored,False,2026-09-07T23:53:50.764422+00:00
3,20260907T051030_e5b3aeb07ed2,2026-09-07T05:10:53.313284+00:00,github-actions,823ac12bac50,2026-09-07,2026-09-04,5fd4ea4a301d5af0e0d6,9b0b1adcafba0fea37db,close_to_close,0.0064819188915649,{},,disabled,,,,,Ridge,20260907T051030_e5b3aeb07ed2:price:5,price,5,2026-09-11,1주일,5.0,66.0469970703125,없음,,,66.0469970703125,61.82402614100277,70.26996799962222,0.7689594356261023,simple,0.0400882667406854,0.0401692100307705,0.0,0.0,0.0,,,,,,,,,,,,,,pending,False,2026-09-07T23:53:50.764422+00:00
3,20260907T051030_e5b3aeb07ed2,2026-09-07T05:10:53.313284+00:00,github-actions,823ac12bac50,2026-09-07,2026-09-04,5fd4ea4a301d5af0e0d6,9b0b1adcafba0fea37db,close_to_close,0.0064819188915649,{},,disabled,,,,,Ridge,20260907T051030_e5b3aeb07ed2:price:20,price,20,2026-10-02,1개월,20.0,66.0469970703125,없음,,,66.0469970703125,56.917557316720654,75.17643682390435,0.8097345132743363,simple,0.0772096071747123,0.0778663951176251,0.0,0.0,0.0,,,,,,,,,,,,,,pending,False,2026-09-07T23:53:50.764422+00:00
3,20260907T051544_df3e74473b82,2026-09-07T05:16:07.822717+00:00,github-actions,823ac12bac50,2026-09-07,2026-09-04,5fd4ea4a301d5af0e0d6,9b0b1adcafba0fea37db,close_to_close,0.0064819188915649,{},,disabled,상승,0.3406844395516685,0.2632631241993292,0.3960524362490022,Logistic,20260907T051544_df3e74473b82:direction:Logistic,direction,1,2026-09-07,,,,,,,,,,,,,,,,,66.73500061035156,67.2249984741211,0.01783580565448739,2.0,1.0,,,,,,,0.9262086617235106,0.5501260196765914,scored,False,2026-09-07T23:53:50.764422+00:00
3,20260907T051544_df3e74473b82,2026-09-07T05:16:07.822717+00:00,github-actions,823ac12bac50,2026-09-07,2026-09-04,5fd4ea4a301d5af0e0d6,9b0b1adcafba0fea37db,close_to_close,0.0064819188915649,{},,disabled,,,,,Ridge,20260907T051544_df3e74473b82:price:1,price,1,2026-09-07,1거래일,1.0,66.0469970703125,없음,,,66.0469970703125,64.28974153771014,67.80425260291486,0.7883597883597884,simple,0.0169789220269378,0.0170185534338604,0.0,0.0,0.0,66.73500061035156,67.2249984741211,0.01783580565448739,,,,,,,1.0,-1.1780014038085938,,,scored,False,2026-09-07T23:53:50.764422+00:00
